question,type,topic,answer
what is migraine,disease,Migraine,"A migraine is a type of headache disorder marked by intense, often throbbing pain, usually on one side of the head, sometimes with nausea and sensitivity to light or sound. Attacks can last hours to days and may be triggered by stress, certain foods, hormonal changes, or lack of sleep. Rest in a dark quiet room and doctor-recommended medication can help."
tell me about migraines,disease,Migraine,"A migraine is a type of headache disorder marked by intense, often throbbing pain, usually on one side of the head, sometimes with nausea and sensitivity to light or sound. Attacks can last hours to days and may be triggered by stress, certain foods, hormonal changes, or lack of sleep. Rest in a dark quiet room and doctor-recommended medication can help."
what causes migraines,disease,Migraine,"A migraine is a type of headache disorder marked by intense, often throbbing pain, usually on one side of the head, sometimes with nausea and sensitivity to light or sound. Attacks can last hours to days and may be triggered by stress, certain foods, hormonal changes, or lack of sleep. Rest in a dark quiet room and doctor-recommended medication can help."
what is arthritis,disease,Arthritis,"Arthritis refers to inflammation of one or more joints, causing pain, stiffness, and swelling that often worsens with age or activity. The two most common types are osteoarthritis (wear-and-tear) and rheumatoid arthritis (autoimmune). Treatment usually involves pain relief, gentle exercise, and in some cases anti-inflammatory medication prescribed by a doctor."
tell me about arthritis,disease,Arthritis,"Arthritis refers to inflammation of one or more joints, causing pain, stiffness, and swelling that often worsens with age or activity. The two most common types are osteoarthritis (wear-and-tear) and rheumatoid arthritis (autoimmune). Treatment usually involves pain relief, gentle exercise, and in some cases anti-inflammatory medication prescribed by a doctor."
what causes joint pain,disease,Arthritis,"Arthritis refers to inflammation of one or more joints, causing pain, stiffness, and swelling that often worsens with age or activity. The two most common types are osteoarthritis (wear-and-tear) and rheumatoid arthritis (autoimmune). Treatment usually involves pain relief, gentle exercise, and in some cases anti-inflammatory medication prescribed by a doctor."
what is anemia,disease,Anemia,"Anemia happens when the body doesn't have enough healthy red blood cells or hemoglobin to carry adequate oxygen to tissues. It commonly causes fatigue, pale skin, dizziness, and shortness of breath, and is often linked to iron, vitamin B12, or folate deficiency. Treatment depends on the cause and may include dietary changes or supplements recommended by a doctor."
tell me about anemia,disease,Anemia,"Anemia happens when the body doesn't have enough healthy red blood cells or hemoglobin to carry adequate oxygen to tissues. It commonly causes fatigue, pale skin, dizziness, and shortness of breath, and is often linked to iron, vitamin B12, or folate deficiency. Treatment depends on the cause and may include dietary changes or supplements recommended by a doctor."
what causes anemia,disease,Anemia,"Anemia happens when the body doesn't have enough healthy red blood cells or hemoglobin to carry adequate oxygen to tissues. It commonly causes fatigue, pale skin, dizziness, and shortness of breath, and is often linked to iron, vitamin B12, or folate deficiency. Treatment depends on the cause and may include dietary changes or supplements recommended by a doctor."
what is dengue fever,disease,Dengue Fever,"Dengue is a mosquito-borne viral infection common in tropical regions, causing high fever, severe headache, joint and muscle pain, rash, and fatigue. Most cases resolve with rest, fluids, and fever management, but warning signs like severe abdominal pain, bleeding, or persistent vomiting need urgent medical attention. There is no specific antiviral treatment, so supportive care is key."
tell me about dengue,disease,Dengue Fever,"Dengue is a mosquito-borne viral infection common in tropical regions, causing high fever, severe headache, joint and muscle pain, rash, and fatigue. Most cases resolve with rest, fluids, and fever management, but warning signs like severe abdominal pain, bleeding, or persistent vomiting need urgent medical attention. There is no specific antiviral treatment, so supportive care is key."
what are the symptoms of dengue,disease,Dengue Fever,"Dengue is a mosquito-borne viral infection common in tropical regions, causing high fever, severe headache, joint and muscle pain, rash, and fatigue. Most cases resolve with rest, fluids, and fever management, but warning signs like severe abdominal pain, bleeding, or persistent vomiting need urgent medical attention. There is no specific antiviral treatment, so supportive care is key."
what is malaria,disease,Malaria,"Malaria is a mosquito-borne disease caused by a parasite, common in tropical areas, producing cycles of high fever, chills, sweating, headache, and fatigue. It requires prompt diagnosis (usually a blood test) and specific antimalarial medication prescribed by a doctor, as untreated malaria can become severe quickly."
tell me about malaria,disease,Malaria,"Malaria is a mosquito-borne disease caused by a parasite, common in tropical areas, producing cycles of high fever, chills, sweating, headache, and fatigue. It requires prompt diagnosis (usually a blood test) and specific antimalarial medication prescribed by a doctor, as untreated malaria can become severe quickly."
what causes malaria,disease,Malaria,"Malaria is a mosquito-borne disease caused by a parasite, common in tropical areas, producing cycles of high fever, chills, sweating, headache, and fatigue. It requires prompt diagnosis (usually a blood test) and specific antimalarial medication prescribed by a doctor, as untreated malaria can become severe quickly."
what are seasonal allergies,disease,Seasonal Allergies,"Seasonal allergies (like hay fever) happen when the immune system overreacts to pollen or other airborne particles, causing sneezing, runny or blocked nose, itchy eyes, and throat irritation. They're usually managed with antihistamines, avoiding known triggers, and keeping windows closed during high-pollen periods."
tell me about allergies,disease,Seasonal Allergies,"Seasonal allergies (like hay fever) happen when the immune system overreacts to pollen or other airborne particles, causing sneezing, runny or blocked nose, itchy eyes, and throat irritation. They're usually managed with antihistamines, avoiding known triggers, and keeping windows closed during high-pollen periods."
what causes allergies,disease,Seasonal Allergies,"Seasonal allergies (like hay fever) happen when the immune system overreacts to pollen or other airborne particles, causing sneezing, runny or blocked nose, itchy eyes, and throat irritation. They're usually managed with antihistamines, avoiding known triggers, and keeping windows closed during high-pollen periods."
what is acid reflux,disease,Acid Reflux (GERD),"Acid reflux (GERD when chronic) happens when stomach acid flows back up into the esophagus, causing heartburn, a sour taste, and sometimes chest discomfort. It's often triggered by spicy or fatty foods, large meals, lying down soon after eating, or caffeine, and can be managed with dietary changes and antacids."
what is gerd,disease,Acid Reflux (GERD),"Acid reflux (GERD when chronic) happens when stomach acid flows back up into the esophagus, causing heartburn, a sour taste, and sometimes chest discomfort. It's often triggered by spicy or fatty foods, large meals, lying down soon after eating, or caffeine, and can be managed with dietary changes and antacids."
tell me about heartburn,disease,Acid Reflux (GERD),"Acid reflux (GERD when chronic) happens when stomach acid flows back up into the esophagus, causing heartburn, a sour taste, and sometimes chest discomfort. It's often triggered by spicy or fatty foods, large meals, lying down soon after eating, or caffeine, and can be managed with dietary changes and antacids."
what is a urinary tract infection,disease,Urinary Tract Infection,"A urinary tract infection (UTI) is a bacterial infection anywhere in the urinary system, most often the bladder, causing a burning sensation when urinating, frequent urges to urinate, and cloudy or strong-smelling urine. UTIs typically need a course of antibiotics prescribed by a doctor, and drinking plenty of water helps flush the system."
what is a uti,disease,Urinary Tract Infection,"A urinary tract infection (UTI) is a bacterial infection anywhere in the urinary system, most often the bladder, causing a burning sensation when urinating, frequent urges to urinate, and cloudy or strong-smelling urine. UTIs typically need a course of antibiotics prescribed by a doctor, and drinking plenty of water helps flush the system."
tell me about urinary infection,disease,Urinary Tract Infection,"A urinary tract infection (UTI) is a bacterial infection anywhere in the urinary system, most often the bladder, causing a burning sensation when urinating, frequent urges to urinate, and cloudy or strong-smelling urine. UTIs typically need a course of antibiotics prescribed by a doctor, and drinking plenty of water helps flush the system."
what is food poisoning,disease,Food Poisoning,"Food poisoning results from eating contaminated food, causing nausea, vomiting, diarrhea, stomach cramps, and sometimes fever, usually starting within hours of eating. Most cases resolve within a couple of days with rest and fluids/ORS, but severe dehydration, high fever, or bloody stools need urgent medical care."
tell me about food poisoning,disease,Food Poisoning,"Food poisoning results from eating contaminated food, causing nausea, vomiting, diarrhea, stomach cramps, and sometimes fever, usually starting within hours of eating. Most cases resolve within a couple of days with rest and fluids/ORS, but severe dehydration, high fever, or bloody stools need urgent medical care."
what causes food poisoning,disease,Food Poisoning,"Food poisoning results from eating contaminated food, causing nausea, vomiting, diarrhea, stomach cramps, and sometimes fever, usually starting within hours of eating. Most cases resolve within a couple of days with rest and fluids/ORS, but severe dehydration, high fever, or bloody stools need urgent medical care."
what is covid 19,disease,COVID-19,"COVID-19 is a respiratory illness caused by the SARS-CoV-2 virus, with symptoms ranging from mild (fever, cough, sore throat, loss of taste/smell) to severe breathing difficulty in some cases. Rest, fluids, and isolation to avoid spreading it are recommended for mild cases, while trouble breathing or persistent chest pain needs immediate medical attention."
tell me about coronavirus,disease,COVID-19,"COVID-19 is a respiratory illness caused by the SARS-CoV-2 virus, with symptoms ranging from mild (fever, cough, sore throat, loss of taste/smell) to severe breathing difficulty in some cases. Rest, fluids, and isolation to avoid spreading it are recommended for mild cases, while trouble breathing or persistent chest pain needs immediate medical attention."
what are covid symptoms,disease,COVID-19,"COVID-19 is a respiratory illness caused by the SARS-CoV-2 virus, with symptoms ranging from mild (fever, cough, sore throat, loss of taste/smell) to severe breathing difficulty in some cases. Rest, fluids, and isolation to avoid spreading it are recommended for mild cases, while trouble breathing or persistent chest pain needs immediate medical attention."
what is dehydration,disease,Dehydration,"Dehydration happens when the body loses more fluid than it takes in, causing thirst, dry mouth, dark urine, dizziness, and fatigue. Mild dehydration is treated by drinking water or an oral rehydration solution, while severe dehydration (confusion, very little urine, rapid heartbeat) needs urgent medical care."
tell me about dehydration,disease,Dehydration,"Dehydration happens when the body loses more fluid than it takes in, causing thirst, dry mouth, dark urine, dizziness, and fatigue. Mild dehydration is treated by drinking water or an oral rehydration solution, while severe dehydration (confusion, very little urine, rapid heartbeat) needs urgent medical care."
what causes dehydration,disease,Dehydration,"Dehydration happens when the body loses more fluid than it takes in, causing thirst, dry mouth, dark urine, dizziness, and fatigue. Mild dehydration is treated by drinking water or an oral rehydration solution, while severe dehydration (confusion, very little urine, rapid heartbeat) needs urgent medical care."
difference between cold and flu,disease,Cold vs Flu,"A common cold usually comes on gradually with a runny nose, sneezing, and mild fatigue, while the flu (influenza) tends to start suddenly with high fever, body aches, chills, and more severe fatigue. Both are viral and managed with rest and fluids, but flu is more likely to lead to complications, especially in young children, older adults, or those with existing conditions."
what is the difference between cold and flu,disease,Cold vs Flu,"A common cold usually comes on gradually with a runny nose, sneezing, and mild fatigue, while the flu (influenza) tends to start suddenly with high fever, body aches, chills, and more severe fatigue. Both are viral and managed with rest and fluids, but flu is more likely to lead to complications, especially in young children, older adults, or those with existing conditions."
how to tell cold from flu,disease,Cold vs Flu,"A common cold usually comes on gradually with a runny nose, sneezing, and mild fatigue, while the flu (influenza) tends to start suddenly with high fever, body aches, chills, and more severe fatigue. Both are viral and managed with rest and fluids, but flu is more likely to lead to complications, especially in young children, older adults, or those with existing conditions."
what is paracetamol,medicine,Paracetamol,"Paracetamol (acetaminophen) is a common over-the-counter medicine used to relieve mild to moderate pain and reduce fever. It's usually taken as directed on the packaging or by a pharmacist/doctor, spaced several hours apart, and the daily limit should never be exceeded since overdose can seriously harm the liver. Avoid combining it with other paracetamol-containing products."
what is paracetamol used for,medicine,Paracetamol,"Paracetamol (acetaminophen) is a common over-the-counter medicine used to relieve mild to moderate pain and reduce fever. It's usually taken as directed on the packaging or by a pharmacist/doctor, spaced several hours apart, and the daily limit should never be exceeded since overdose can seriously harm the liver. Avoid combining it with other paracetamol-containing products."
tell me about paracetamol,medicine,Paracetamol,"Paracetamol (acetaminophen) is a common over-the-counter medicine used to relieve mild to moderate pain and reduce fever. It's usually taken as directed on the packaging or by a pharmacist/doctor, spaced several hours apart, and the daily limit should never be exceeded since overdose can seriously harm the liver. Avoid combining it with other paracetamol-containing products."
what is ibuprofen,medicine,Ibuprofen,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) used to relieve pain, reduce inflammation, and lower fever. It's usually taken with food to reduce stomach irritation, following the dose on the packaging or a doctor's advice, and should be used cautiously by people with stomach ulcers, kidney issues, or asthma."
what is ibuprofen used for,medicine,Ibuprofen,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) used to relieve pain, reduce inflammation, and lower fever. It's usually taken with food to reduce stomach irritation, following the dose on the packaging or a doctor's advice, and should be used cautiously by people with stomach ulcers, kidney issues, or asthma."
tell me about ibuprofen,medicine,Ibuprofen,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) used to relieve pain, reduce inflammation, and lower fever. It's usually taken with food to reduce stomach irritation, following the dose on the packaging or a doctor's advice, and should be used cautiously by people with stomach ulcers, kidney issues, or asthma."
what is aspirin,medicine,Aspirin,"Aspirin is a medicine used for pain relief, reducing fever, and (at low doses, under medical supervision) preventing blood clots in some heart conditions. It should generally be taken with food, and is not recommended for children or teenagers with viral infections due to the risk of Reye's syndrome — always check with a doctor before use."
what is aspirin used for,medicine,Aspirin,"Aspirin is a medicine used for pain relief, reducing fever, and (at low doses, under medical supervision) preventing blood clots in some heart conditions. It should generally be taken with food, and is not recommended for children or teenagers with viral infections due to the risk of Reye's syndrome — always check with a doctor before use."
tell me about aspirin,medicine,Aspirin,"Aspirin is a medicine used for pain relief, reducing fever, and (at low doses, under medical supervision) preventing blood clots in some heart conditions. It should generally be taken with food, and is not recommended for children or teenagers with viral infections due to the risk of Reye's syndrome — always check with a doctor before use."
what are antibiotics,medicine,Antibiotics,"Antibiotics are medicines that treat infections caused by bacteria by killing the bacteria or stopping their growth — they do not work against viral infections like the common cold or flu. It's important to complete the full prescribed course even if you feel better early, and to only take antibiotics prescribed by a doctor to avoid antibiotic resistance."
what are antibiotics used for,medicine,Antibiotics,"Antibiotics are medicines that treat infections caused by bacteria by killing the bacteria or stopping their growth — they do not work against viral infections like the common cold or flu. It's important to complete the full prescribed course even if you feel better early, and to only take antibiotics prescribed by a doctor to avoid antibiotic resistance."
tell me about antibiotics,medicine,Antibiotics,"Antibiotics are medicines that treat infections caused by bacteria by killing the bacteria or stopping their growth — they do not work against viral infections like the common cold or flu. It's important to complete the full prescribed course even if you feel better early, and to only take antibiotics prescribed by a doctor to avoid antibiotic resistance."
what are antihistamines,medicine,Antihistamines,"Antihistamines are medicines that block histamine, the chemical the body releases during an allergic reaction, helping relieve sneezing, itching, runny nose, and hives. Some types can cause drowsiness, so it's worth checking the label before driving or operating machinery."
what are antihistamines used for,medicine,Antihistamines,"Antihistamines are medicines that block histamine, the chemical the body releases during an allergic reaction, helping relieve sneezing, itching, runny nose, and hives. Some types can cause drowsiness, so it's worth checking the label before driving or operating machinery."
tell me about antihistamines,medicine,Antihistamines,"Antihistamines are medicines that block histamine, the chemical the body releases during an allergic reaction, helping relieve sneezing, itching, runny nose, and hives. Some types can cause drowsiness, so it's worth checking the label before driving or operating machinery."
what are antacids,medicine,Antacids,"Antacids are medicines that neutralize stomach acid to relieve heartburn, indigestion, and an upset stomach, usually working within minutes. They're meant for occasional use — frequent or long-lasting symptoms should be checked by a doctor, since they could point to a condition like GERD."
what are antacids used for,medicine,Antacids,"Antacids are medicines that neutralize stomach acid to relieve heartburn, indigestion, and an upset stomach, usually working within minutes. They're meant for occasional use — frequent or long-lasting symptoms should be checked by a doctor, since they could point to a condition like GERD."
tell me about antacids,medicine,Antacids,"Antacids are medicines that neutralize stomach acid to relieve heartburn, indigestion, and an upset stomach, usually working within minutes. They're meant for occasional use — frequent or long-lasting symptoms should be checked by a doctor, since they could point to a condition like GERD."
what is ors,medicine,Oral Rehydration Salts (ORS),"ORS (Oral Rehydration Salts) is a mix of salts and sugar dissolved in water, used to quickly replace fluids and electrolytes lost through vomiting, diarrhea, or heavy sweating. It's especially useful for preventing dehydration in children and during illnesses like food poisoning or dengue, and is widely available at pharmacies."
what is oral rehydration solution,medicine,Oral Rehydration Salts (ORS),"ORS (Oral Rehydration Salts) is a mix of salts and sugar dissolved in water, used to quickly replace fluids and electrolytes lost through vomiting, diarrhea, or heavy sweating. It's especially useful for preventing dehydration in children and during illnesses like food poisoning or dengue, and is widely available at pharmacies."
tell me about ors,medicine,Oral Rehydration Salts (ORS),"ORS (Oral Rehydration Salts) is a mix of salts and sugar dissolved in water, used to quickly replace fluids and electrolytes lost through vomiting, diarrhea, or heavy sweating. It's especially useful for preventing dehydration in children and during illnesses like food poisoning or dengue, and is widely available at pharmacies."
what is cough syrup used for,medicine,Cough Syrup,"Cough syrups are over-the-counter medicines formulated to either suppress a dry, irritating cough or help loosen mucus in a productive (wet) cough — the right type depends on which kind of cough you have. They're generally for short-term use, and a cough lasting more than a couple of weeks should be checked by a doctor."
tell me about cough syrup,medicine,Cough Syrup,"Cough syrups are over-the-counter medicines formulated to either suppress a dry, irritating cough or help loosen mucus in a productive (wet) cough — the right type depends on which kind of cough you have. They're generally for short-term use, and a cough lasting more than a couple of weeks should be checked by a doctor."
what is insulin,medicine,Insulin,"Insulin is a hormone-based medicine used mainly by people with diabetes to help move sugar from the blood into cells for energy, since their body either doesn't produce enough insulin naturally or can't use it properly. It's given by injection or pump, with the dose and schedule set individually by a doctor based on blood sugar monitoring."
what is insulin used for,medicine,Insulin,"Insulin is a hormone-based medicine used mainly by people with diabetes to help move sugar from the blood into cells for energy, since their body either doesn't produce enough insulin naturally or can't use it properly. It's given by injection or pump, with the dose and schedule set individually by a doctor based on blood sugar monitoring."
tell me about insulin,medicine,Insulin,"Insulin is a hormone-based medicine used mainly by people with diabetes to help move sugar from the blood into cells for energy, since their body either doesn't produce enough insulin naturally or can't use it properly. It's given by injection or pump, with the dose and schedule set individually by a doctor based on blood sugar monitoring."
what is vitamin d supplement used for,medicine,Vitamin D Supplements,"Vitamin D supplements help the body absorb calcium and maintain healthy bones, muscles, and immune function, and are often recommended for people with limited sun exposure or a diagnosed deficiency. Dosage varies by age and health status, so it's best to follow a doctor's or pharmacist's recommendation rather than guessing."
tell me about vitamin d,medicine,Vitamin D Supplements,"Vitamin D supplements help the body absorb calcium and maintain healthy bones, muscles, and immune function, and are often recommended for people with limited sun exposure or a diagnosed deficiency. Dosage varies by age and health status, so it's best to follow a doctor's or pharmacist's recommendation rather than guessing."
what is an allergic reaction,disease,Allergic Reaction,"An allergic reaction happens when the immune system overreacts to a normally harmless substance (like pollen, food, or medicine), causing symptoms from mild (sneezing, itching, hives) to severe (swelling, difficulty breathing). Mild reactions are often managed with antihistamines, but a severe reaction with breathing trouble or facial swelling is a medical emergency."
tell me about allergic reactions,disease,Allergic Reaction,"An allergic reaction happens when the immune system overreacts to a normally harmless substance (like pollen, food, or medicine), causing symptoms from mild (sneezing, itching, hives) to severe (swelling, difficulty breathing). Mild reactions are often managed with antihistamines, but a severe reaction with breathing trouble or facial swelling is a medical emergency."
what causes allergic reactions,disease,Allergic Reaction,"An allergic reaction happens when the immune system overreacts to a normally harmless substance (like pollen, food, or medicine), causing symptoms from mild (sneezing, itching, hives) to severe (swelling, difficulty breathing). Mild reactions are often managed with antihistamines, but a severe reaction with breathing trouble or facial swelling is a medical emergency."
what is an anxiety attack,disease,Anxiety Attack,"An anxiety or panic attack is a sudden episode of intense fear or discomfort, often with a racing heart, sweating, trembling, and a feeling of losing control, even without real danger present. Slow breathing and grounding techniques can help in the moment, and a doctor or therapist can help with ongoing or frequent episodes."
tell me about anxiety attacks,disease,Anxiety Attack,"An anxiety or panic attack is a sudden episode of intense fear or discomfort, often with a racing heart, sweating, trembling, and a feeling of losing control, even without real danger present. Slow breathing and grounding techniques can help in the moment, and a doctor or therapist can help with ongoing or frequent episodes."
what causes anxiety attacks,disease,Anxiety Attack,"An anxiety or panic attack is a sudden episode of intense fear or discomfort, often with a racing heart, sweating, trembling, and a feeling of losing control, even without real danger present. Slow breathing and grounding techniques can help in the moment, and a doctor or therapist can help with ongoing or frequent episodes."
what is a bee sting,disease,Bee Sting,"A bee sting injects venom that typically causes localized pain, redness, and swelling that settles within a day or two. Most stings are managed by removing the stinger and using a cold compress, but a sting can trigger a severe, life-threatening allergic reaction (anaphylaxis) in some people, needing emergency care."
tell me about bee stings,disease,Bee Sting,"A bee sting injects venom that typically causes localized pain, redness, and swelling that settles within a day or two. Most stings are managed by removing the stinger and using a cold compress, but a sting can trigger a severe, life-threatening allergic reaction (anaphylaxis) in some people, needing emergency care."
what happens after a bee sting,disease,Bee Sting,"A bee sting injects venom that typically causes localized pain, redness, and swelling that settles within a day or two. Most stings are managed by removing the stinger and using a cold compress, but a sting can trigger a severe, life-threatening allergic reaction (anaphylaxis) in some people, needing emergency care."
what is a burn,disease,Burn,"A burn is skin damage caused by heat, chemicals, electricity, or sun exposure, ranging from mild redness (first-degree) to blistering (second-degree) or deeper tissue damage (third-degree). Minor burns are cooled under running water and covered loosely, while large, deep, or facial burns need immediate medical attention."
tell me about burns,disease,Burn,"A burn is skin damage caused by heat, chemicals, electricity, or sun exposure, ranging from mild redness (first-degree) to blistering (second-degree) or deeper tissue damage (third-degree). Minor burns are cooled under running water and covered loosely, while large, deep, or facial burns need immediate medical attention."
what causes burns,disease,Burn,"A burn is skin damage caused by heat, chemicals, electricity, or sun exposure, ranging from mild redness (first-degree) to blistering (second-degree) or deeper tissue damage (third-degree). Minor burns are cooled under running water and covered loosely, while large, deep, or facial burns need immediate medical attention."
what is constipation,disease,Constipation,"Constipation is when bowel movements become infrequent, difficult, or incomplete, often due to low fiber or fluid intake, lack of exercise, or certain medicines. It's usually managed by increasing water and fiber intake and staying active, with a doctor's input needed if it persists beyond a week or comes with pain or bleeding."
tell me about constipation,disease,Constipation,"Constipation is when bowel movements become infrequent, difficult, or incomplete, often due to low fiber or fluid intake, lack of exercise, or certain medicines. It's usually managed by increasing water and fiber intake and staying active, with a doctor's input needed if it persists beyond a week or comes with pain or bleeding."
what causes constipation,disease,Constipation,"Constipation is when bowel movements become infrequent, difficult, or incomplete, often due to low fiber or fluid intake, lack of exercise, or certain medicines. It's usually managed by increasing water and fiber intake and staying active, with a doctor's input needed if it persists beyond a week or comes with pain or bleeding."
what is a cut,disease,Cut,"A cut is a break in the skin caused by a sharp object, ranging from a shallow scrape to a deep wound. Minor cuts are cleaned with water, treated with an antiseptic, and covered with a bandage, while deep cuts, ones that won't stop bleeding, or show signs of infection need medical attention."
tell me about cuts,disease,Cut,"A cut is a break in the skin caused by a sharp object, ranging from a shallow scrape to a deep wound. Minor cuts are cleaned with water, treated with an antiseptic, and covered with a bandage, while deep cuts, ones that won't stop bleeding, or show signs of infection need medical attention."
what causes cuts,disease,Cut,"A cut is a break in the skin caused by a sharp object, ranging from a shallow scrape to a deep wound. Minor cuts are cleaned with water, treated with an antiseptic, and covered with a bandage, while deep cuts, ones that won't stop bleeding, or show signs of infection need medical attention."
what is diarrhea,disease,Diarrhea,"Diarrhea is loose, watery, and frequent bowel movements, often caused by an infection, food intolerance, or contaminated food or water. The main risk is dehydration, so fluids and ORS are the priority, with a doctor's visit needed if it lasts more than 2 days or comes with blood or high fever."
tell me about diarrhea,disease,Diarrhea,"Diarrhea is loose, watery, and frequent bowel movements, often caused by an infection, food intolerance, or contaminated food or water. The main risk is dehydration, so fluids and ORS are the priority, with a doctor's visit needed if it lasts more than 2 days or comes with blood or high fever."
what causes diarrhea,disease,Diarrhea,"Diarrhea is loose, watery, and frequent bowel movements, often caused by an infection, food intolerance, or contaminated food or water. The main risk is dehydration, so fluids and ORS are the priority, with a doctor's visit needed if it lasts more than 2 days or comes with blood or high fever."
what is difficulty breathing,disease,Difficulty Breathing,"Difficulty breathing (shortness of breath) can result from many causes, including asthma, a severe allergic reaction, infection, or a heart or lung condition, and it's not something to self-diagnose. Sudden or severe difficulty breathing, especially with chest pain or blue lips, is a medical emergency requiring immediate care."
tell me about difficulty breathing,disease,Difficulty Breathing,"Difficulty breathing (shortness of breath) can result from many causes, including asthma, a severe allergic reaction, infection, or a heart or lung condition, and it's not something to self-diagnose. Sudden or severe difficulty breathing, especially with chest pain or blue lips, is a medical emergency requiring immediate care."
